Otázka;Odpov??
Jaké služby poskytujete?;Ordinace nabízí preventivní pé?i, estetickou stomatologii, dentální hygienu a b?lení zub?.
Jak se mohu zaregistrovat jako pacient?;Registrace je možná online formulá?em na stránkách nebo telefonicky.
Jaké jsou vaše ordina?ní hodiny?;Ordina?ní hodiny jsou k dispozici na webu.
Jaké pojiš?ovny akceptujete?;Ordinace akceptuje pojiš?ovny, seznam je uveden na stránkách.
Co zahrnuje preventivní pé?e?;Preventivní pé?e zahrnuje pravidelné kontroly, ?išt?ní a odstran?ní zubního plaku.
Jak se objednat na prohlídku?;Objednání je možné telefonicky nebo online.
Co mohu o?ekávat p?i první návšt?v??;P?i první návšt?v? probíhá komplexní vyšet?ení zub? a konzultace.
Jak probíhá ošet?ení zub??;Ordinace nabízí moderní bezbolestné postupy p?i ošet?ení.
Jak ?ešíte akutní p?ípady?;Akutní p?ípady jsou ?ešeny v rámci ordina?ních hodin.
Jaké estetické zákroky nabízíte?;Ordinace nabízí r?zné estetické zákroky, v?etn? b?lení zub?.
Co je to dentální hygiena?;Dentální hygiena zahrnuje odstran?ní plaku, lešt?ní a konzultaci o pé?i o zuby.
Jak ?asto bych m?l/a navšt?vovat zuba?e?;Kontroly by m?ly probíhat jednou až dvakrát ro?n? dle doporu?ení léka?e.
Jak mohu p?edejít zubnímu kazu?;Prevenci zubního kazu lze dosáhnout pravidelným ?išt?ním a profesionální hygienou.
Provádíte b?lení zub??;Ano, ordinace nabízí profesionální b?lení zub?.
Je b?lení zub? bezpe?né?;B?lení zub? je bezpe?né, pokud je provád?no pod dohledem odborníka.
Jaká je cena za b?lení zub??;Cena b?lení zub? závisí na metod? a je dostupná na dotaz.
Jak probíhá b?žná kontrola?;B?žná kontrola zahrnuje vyšet?ení zub?, dásní a p?ípadné doporu?ení další pé?e.
Jak ?asto bych m?l/a absolvovat dentální hygienu?;Dentální hygiena by m?la probíhat alespo? dvakrát ro?n?.
Jaké materiály používáte pro plomby?;Ordinace používá kvalitní materiály, v?etn? bílé kompozitní prysky?ice.
Nabízíte bezbolestné ošet?ení?;Ano, bezbolestné ošet?ení je možné pomocí lokální anestezie.
Jaké typy anestezie používáte?;Používáme lokální anestezii pro maximální komfort pacienta.
Jak dlouho trvá zákrok?;Zákrok trvá obvykle 30–60 minut, v závislosti na složitosti.
Jak probíhá extrakce zubu?;Extrakce zubu probíhá pod lokální anestezií a je bezbolestná.
Jaké jsou ceny vašich služeb?;Ceník je k dispozici na stránkách nebo na dotaz v ordinaci.
Jaké jsou možnosti platby?;Platba je možná hotov?, kartou nebo na základ? pojišt?ní.
Poskytujete ošet?ení d?tem?;Ano, poskytujeme ošet?ení i d?tem.
Jak se p?ipravit na návšt?vu zubního léka?e?;Na návšt?vu se p?ipravte hygienou zub? a p?ineste pot?ebné doklady.
Nabízíte služby pro t?hotné ženy?;Ano, ordinace nabízí speciální pé?i pro t?hotné ženy.
Jaké jsou nej?ast?jší problémy se zuby?;Mezi nej?ast?jší problémy pat?í zubní kaz, zán?t dásní a citlivost zub?.
Jak probíhá aplikace zubní korunky?;Aplikace zubní korunky zahrnuje otisk, výrobu korunky a její nasazení.
Jak dlouho trvá lé?ba zubního kazu?;Lé?ba zubního kazu obvykle trvá jednu návšt?vu.
Co d?lat po extrakci zubu?;Po extrakci zubu je nutné dodržovat pokyny léka?e a vyhnout se fyzické námaze.
Jaké výhody má keramická korunka?;Keramická korunka je estetická a velmi odolná, s dlouhou životností.
Co je to implantát?;Zubní implantát je náhrada zubu, která je chirurgicky vložena do ?elisti.
Jaké jsou možnosti náhrady zubu?;Mezi možnosti náhrady zubu pat?í implantáty, m?stky nebo protézy.
Provádíte ošet?ení kanálk??;Ano, provádíme ošet?ení ko?enových kanálk?.
Jaké jsou p?íznaky zubního kazu?;P?íznaky zubního kazu zahrnují bolest, citlivost a viditelné poškození zubu.
Jaké jsou p?í?iny zubního kazu?;Zubní kaz je zp?soben bakteriemi a špatnou ústní hygienou.
Jak dlouho trvá dentální hygiena?;Dentální hygiena trvá p?ibližn? 45 minut.
Jak pe?ovat o dásn??;O dásn? pe?ujte pravidelným ?išt?ním a používáním mezizubních kartá?k?.
Co je to parodontitida?;Parodontitida je zán?t dásní, který m?že vést k úbytku kostí.
Jak se lé?í parodontitida?;Lé?ba parodontitidy zahrnuje profesionální ?išt?ní a pravidelné kontroly.
Co je to zán?t dásní?;Zán?t dásní je b?žný problém zp?sobený plakem a špatnou hygienou.
Jaké jsou p?íznaky zán?tu dásní?;P?íznaky zahrnují krvácení, otoky a zarudnutí dásní.
Jaká je cena dentální hygieny?;Cena dentální hygieny se liší dle rozsahu ošet?ení.
Jak ?asto m?nit zubní kartá?ek?;Zubní kartá?ek by se m?l m?nit každé 3 m?síce.
Jak správn? ?istit zuby?;Zuby ?ist?te dvakrát denn? alespo? dv? minuty.
Jaké jsou výhody mezizubních kartá?k??;Mezizubní kartá?ky pomáhají ?istit mezery mezi zuby.
Používáte laser p?i ošet?ení?;Ano, p?i n?kterých zákrocích používáme laserovou technologii.
Jaké jsou rizika zubních implantát??;Rizika zubních implantát? zahrnují infekce a selhání implantátu.
Co je to zubní m?stek?;Zubní m?stek je náhrada jednoho nebo více zub?, která je pevn? p?ipojena.
Jak probíhá aplikace zubního m?stku?;Aplikace m?stku zahrnuje broušení okolních zub? a nasazení náhrady.
Jaká je cena zubního m?stku?;Cena zubního m?stku závisí na po?tu nahrazovaných zub? a materiálu.
Co jsou to zubní fazety?;Fazety jsou tenké kryty zub?, které zlepšují jejich vzhled.
Jak dlouho trvá aplikace zubních fazet?;Aplikace fazet trvá n?kolik návšt?v, v?etn? p?ípravy a nasazení.
Jaká je cena zubních fazet?;Cena fazet závisí na materiálu a po?tu ošet?ovaných zub?.
Je možné opravit poškozený zub?;Ano, poškozený zub lze opravit pomocí plomby, korunky nebo fazet.
Co je to do?asná plomba?;Do?asná plomba je provizorní ?ešení, než je aplikována trvalá náhrada.
Jak se ošet?ují citlivé zuby?;Citlivé zuby ošet?ujeme speciálními fluoridovými p?ípravky nebo pastami.
Jak dlouho vydrží zubní plomby?;Zubní plomby mohou vydržet mnoho let, závisí to na materiálu a pé?i.
Jaké materiály používáte pro korunky?;Pro korunky používáme keramiku nebo kov-keramické materiály.
Co d?lat p?i bolesti zub??;P?i bolesti zub? se doporu?uje návšt?va léka?e a do?asná úleva analgetiky.
Jaký je postup p?i zán?tu zubu?;Zán?t zubu je obvykle lé?en ?išt?ním kanálk? nebo extrakcí zubu.
Jak dlouho trvá hojení po extrakci?;Hojení po extrakci trvá n?kolik dní, plné zotavení n?kolik týdn?.
Jak probíhá implantace zubního implantátu?;Implantace probíhá chirurgicky, obvykle za lokální anestezie.
Jaké jsou alternativy k zubnímu implantátu?;Alternativami k implantát?m jsou m?stky nebo snímatelné protézy.
Jaké jsou p?íznaky abscesu zubu?;P?íznaky abscesu zahrnují otok, bolest a teplotu.
Jak se lé?í absces zubu?;Absces zubu je lé?en drenáží a antibiotiky.
Jak se pe?uje o implantáty?;Implantáty vyžadují pravidelnou pé?i a kontroly u zuba?e.
Jaké jsou rizika zanedbané zubní pé?e?;Zanedbaná zubní pé?e m?že vést k ztrát? zub? a parodontitid?.
Jak ?asto je nutné kontrolovat implantáty?;Kontroly implantát? by m?ly probíhat jednou ro?n?.
Jak se vyhnout zubnímu kazu u d?tí?;U d?tí je d?ležitá pravidelná hygiena a kontrola, aby se p?edešlo kaz?m.
Jaké jsou možnosti ortodontické lé?by?;Ortodontická lé?ba zahrnuje rovnátka a další pom?cky pro správný skus.
Nabízíte rovnátka?;Ano, nabízíme r?zné druhy rovnátek, v?etn? kovových a keramických.
Jak dlouho trvá ortodontická lé?ba?;Ortodontická lé?ba obvykle trvá 1 až 3 roky.
Jak probíhá nasazení rovnátek?;Nasazení rovnátek probíhá ve více krocích, v?etn? konzultace a otisku.
Jaká je cena rovnátek?;Cena rovnátek závisí na typu a délce lé?by.
Co je to neviditelná rovnátka?;Neviditelná rovnátka jsou pr?hledné, snímatelné aparáty.
Jak pe?ovat o rovnátka?;Rovnátka je nutné pravideln? ?istit a dodržovat ústní hygienu.
